ปี-เดือน,เขื่อนแม่กวง,x1(อุณหภูมิ),x2(ความชื้น),x3(ความกดอากาศ),x4(ปริมาณน้ำฝน)
2566-05,160.96,30.34,65.60,1006.49,4.87
2566-06,162.28,29.45,70.43,1004.96,3.49
2566-07,155.47,29.24,73.29,1005.38,4.94
2566-08,142.88,28.19,77.45,1005.54,3.32
2566-09,148.98,27.84,80.71,1006.60,12.92
2566-10,177.86,24.97,80.07,1011.21,7.96
2566-11,201.00,26.75,72.24,1013.62,0.03
2566-12,208.10,25.21,71.22,1014.51,0.08
2567-01,209.52,24.09,67.74,1013.84,0.14
2567-02,191.17,25.89,55.32,1012.81,0.00
2567-03,168.70,29.15,49.06,1009.57,0.43
2567-04,144.70,32.54,49.99,1005.42,0.05
2567-05,122.28,30.31,67.47,1006.19,2.85
2567-06,123.80,29.19,73.20,1005.11,2.28
2567-07,114.57,28.66,76.20,1004.49,4.18
2567-08,119.58,27.91,80.61,1006.77,7.67
2567-09,153.57,27.77,81.34,1005.73,12.75
2567-10,204.64,28.02,76.75,1010.00,4.66
2567-11,213.81,25.81,75.27,1012.87,1.57
2567-12,219.47,24.38,74.36,1013.42,0.39
2568-01,202.04,22.13,68.55,1014.15,0.00
2568-02,181.58,25.85,61.53,1012.15,1.03
2568-03,159.69,28.63,56.96,1009.22,0.01
2568-04,136.84,29.79,65.59,1008.38,3.97
